iter	Passed	Remaining
658	10920	5650
659	10935	5633
660	10950	5616
661	10965	5598
662	10980	5581
663	10997	5565
664	11010	5546
665	11027	5530
666	11042	5512
667	11058	5496
668	11073	5478
669	11089	5461
670	11102	5443
671	11118	5426
672	11133	5409
673	11149	5393
674	11165	5376
675	11183	5360
676	11198	5342
677	11214	5326
678	11230	5309
679	11244	5291
680	11258	5273
681	11275	5257
682	11291	5240
683	11306	5223
684	11321	5206
685	11337	5189
686	11351	5171
687	11365	5153
688	11379	5136
689	11396	5120
690	11411	5102
691	11428	5086
692	11443	5069
693	11460	5053
694	11475	5036
695	11491	5019
696	11506	5001
697	11520	4984
698	11538	4968
699	11553	4951
700	11567	4934
701	11583	4917
702	11597	4899
703	11613	4882
704	11630	4866
705	11646	4849
706	11663	4833
707	11678	4816
708	11693	4799
709	11707	4782
710	11723	4765
711	11741	4749
712	11757	4732
713	11775	4716
714	11792	4700
715	11806	4683
716	11821	4665
717	11836	4649
718	11853	4632
719	11868	4615
720	11882	4598
721	11897	4581
722	11915	4565
723	11931	4548
724	11947	4531
725	11962	4514
726	11976	4497
727	11993	4481
728	12010	4464
729	12025	4447
730	12040	4430
731	12057	4414
732	12072	4397
733	12087	4380
734	12102	4363
735	12117	4346
736	12131	4329
737	12146	4312
738	12162	4295
739	12176	4278
740	12190	4260
741	12205	4244
742	12224	4228
743	12241	4212
744	12256	4195
745	12272	4178
746	12289	4162
747	12304	4145
748	12320	4128
749	12334	4111
750	12349	4094
751	12367	4078
752	12382	4061
753	12398	4045
754	12413	4028
755	12428	4011
756	12443	3994
757	12460	3978
758	12476	3961
759	12493	3945
760	12507	3928
761	12521	3911
762	12538	3894
763	12555	3878
764	12571	3861
765	12587	3845
766	12602	3828
767	12617	3811
768	12632	3794
769	12649	3778
770	12666	3762
771	12680	3744
772	12697	3728
773	12713	3712
774	12730	3695
775	12748	3679
776	12765	3663
777	12784	3648
778	12801	3631
779	12816	3615
780	12832	3598
781	12848	3581
782	12863	3564
783	12879	3548
784	12895	3531
785	12912	3515
786	12928	3499
787	12945	3482
788	12961	3466
789	12976	3449
790	12992	3432
791	13006	3415
792	13023	3399
793	13037	3382
794	13053	3366
795	13069	3349
796	13083	3332
797	13100	3316
798	13115	3299
799	13130	3282
800	13147	3266
801	13163	3249
802	13178	3233
803	13194	3216
804	13210	3199
805	13225	3183
806	13244	3167
807	13263	3151
808	13279	3135
809	13296	3118
810	13312	3102
811	13328	3085
812	13344	3069
813	13360	3052
814	13376	3036
815	13390	3019
816	13406	3002
817	13422	2986
818	13436	2969
819	13453	2953
820	13470	2936
821	13488	2920
822	13503	2904
823	13518	2887
824	13531	2870
825	13548	2854
826	13564	2837
827	13580	2821
828	13596	2804
829	13612	2788
830	13630	2771
831	13646	2755
832	13662	2739
833	13677	2722
834	13693	2705
835	13710	2689
836	13725	2672
837	13742	2656
838	13756	2639
839	13771	2623
840	13787	2606
841	13802	2590
842	13816	2573
843	13833	2556
844	13847	2540
845	13864	2523
846	13880	2507
847	13895	2490
848	13911	2474
849	13927	2457
850	13942	2441
851	13958	2424
852	13973	2408
853	13988	2391
854	14002	2374
855	14017	2358
856	14034	2341
857	14050	2325
858	14066	2309
859	14082	2292
860	14097	2275
861	14112	2259
862	14127	2242
863	14143	2226
864	14158	2209
865	14174	2193
866	14189	2176
867	14204	2160
868	14221	2143
869	14236	2127
870	14251	2110
871	14265	2094
872	14283	2077
873	14298	2061
874	14313	2044
875	14327	2028
876	14343	2011
877	14357	1994
878	14372	1978
879	14387	1961
880	14403	1945
881	14418	1929
882	14434	1912
883	14450	1896
884	14464	1879
885	14479	1863
886	14495	1846
887	14512	1830
888	14526	1813
889	14539	1797
890	14556	1780
891	14572	1764
892	14588	1747
893	14602	1731
894	14618	1715
895	14636	1698
896	14651	1682
897	14669	1666
898	14684	1649
899	14700	1633
900	14716	1616
901	14730	1600
902	14746	1584
903	14765	1567
904	14784	1551
905	14798	1535
906	14814	1518
907	14829	1502
908	14846	1486
909	14862	1469
910	14876	1453
911	14890	1436
912	14909	1420
913	14923	1404
914	14937	1387
915	14954	1371
916	14970	1355
917	14985	1338
918	15003	1322
919	15018	1305
920	15035	1289
921	15050	1273
922	15066	1256
923	15081	1240
924	15098	1224
925	15113	1207
926	15127	1191
927	15144	1174
928	15161	1158
929	15177	1142
930	15191	1125
931	15207	1109
932	15223	1093
933	15239	1076
934	15255	1060
935	15270	1044
936	15287	1027
937	15302	1011
938	15319	995
939	15335	978
940	15352	962
941	15368	946
942	15384	929
943	15399	913
944	15414	897
945	15429	880
946	15446	864
947	15461	848
948	15478	831
949	15519	816
950	15554	801
951	15572	785
952	15587	768
953	15607	752
954	15625	736
955	15656	720
956	15671	704
957	15689	687
958	15705	671
959	15722	655
960	15737	638
961	15755	622
962	15772	605
963	15788	589
964	15803	573
965	15819	556
966	15836	540
967	15851	524
968	15870	507
969	15888	491
970	15903	474
971	15919	458
972	15934	442
973	15950	425
974	15965	409
975	15981	392
976	15996	376
977	16013	360
978	16028	343
979	16043	327
980	16059	311
981	16073	294
982	16088	278
983	16104	261
984	16121	245
985	16137	229
986	16152	212
987	16167	196
988	16182	179
989	16200	163
990	16219	147
991	16234	130
992	16250	114
993	16265	98
994	16281	81
995	16298	65
996	16314	49
997	16329	32
998	16345	16
999	16361	0
